N,P,K,temperature,humidity,ph,rainfall,label
-0.9361,0.6561,-0.5362,-1.4043,-2.1504,-1.0213,-0.2987,kidneybeans
-0.909,0.7168,-0.4967,-0.2179,-2.2763,-1.0332,-0.7147,kidneybeans
-0.3672,0.5651,-0.5954,-1.3314,-2.1089,-0.9631,0.0355,kidneybeans
-0.2859,0.5955,-0.5559,-0.7946,-2.2986,-0.8506,-0.7703,kidneybeans
-1.1258,0.7168,-0.6152,-1.0849,-2.1129,-0.8866,0.049,kidneybeans
-1.3425,0.2619,-0.4967,-2.011,-2.3859,-1.1136,0.6473,kidneybeans
-0.4755,0.1709,-0.5164,-0.5874,-2.2413,-0.6752,0.3444,kidneybeans
-0.7465,0.1709,-0.5757,-0.7171,-2.094,-0.798,0.475,kidneybeans
-1.2071,0.2619,-0.5164,-1.0046,-2.3986,-0.8341,0.3092,kidneybeans
-0.6923,0.2922,-0.5559,-1.9417,-2.2614,-1.2491,-0.1509,kidneybeans
-1.18,0.7774,-0.4967,-1.1812,-2.3269,-0.8372,-0.1238,kidneybeans
-1.1529,0.5651,-0.6152,-0.9961,-2.324,-0.9797,-0.2836,kidneybeans
-0.6381,0.3226,-0.6546,-1.0776,-2.0953,-1.2337,0.6329,kidneybeans
-0.611,0.3832,-0.4967,-0.8052,-2.1218,-0.6117,0.3135,kidneybeans
-0.5026,0.1103,-0.5954,-1.9907,-2.1442,-1.0004,0.0714,kidneybeans
-0.6381,0.08,-0.5164,-1.1255,-2.2814,-0.8226,0.0943,kidneybeans
-0.909,0.7168,-0.4769,-0.9574,-2.3609,-1.1645,0.1011,kidneybeans
-1.3696,0.3529,-0.6546,-0.4256,-2.1681,-1.065,-0.1387,kidneybeans
-1.0174,0.5651,-0.5362,-0.2558,-2.2667,-0.8378,-0.786,kidneybeans
-0.4485,0.2013,-0.4967,-1.0845,-2.0896,-1.0471,-0.0621,kidneybeans
-1.1258,0.8077,-0.5757,-0.7526,-2.3771,-0.6772,0.3937,kidneybeans
-1.0716,0.5651,-0.5559,-1.2037,-2.0916,-0.6698,0.1796,kidneybeans
-1.2884,0.4135,-0.4769,-1.7018,-2.317,-1.226,-0.0031,kidneybeans
-0.4214,0.4742,-0.4967,-1.7438,-2.0896,-1.1516,-0.5098,kidneybeans
-1.2884,0.7168,-0.4572,-0.1515,-2.1828,-1.1132,-0.7508,kidneybeans
-0.7465,0.2619,-0.5757,-1.7972,-2.2924,-1.1115,-0.0853,kidneybeans
-0.7736,0.5348,-0.6152,-1.4742,-2.3405,-1.2409,0.0769,kidneybeans
-0.5297,0.7774,-0.4572,-0.4795,-2.2091,-0.7334,-0.7295,kidneybeans
-0.4485,0.1709,-0.5954,-0.4417,-2.2235,-0.9374,-0.2875,kidneybeans
-1.0445,0.2922,-0.6152,-1.4335,-2.3409,-0.9723,0.6361,kidneybeans
-0.6381,0.08,-0.5559,-1.2556,-2.2898,-1.1978,-0.1549,kidneybeans
-1.18,0.2922,-0.4769,-0.5258,-2.1316,-0.7895,0.0777,kidneybeans
-0.7194,0.4135,-0.5164,-1.0856,-2.1827,-1.0994,0.0211,kidneybeans
-1.0716,0.5348,-0.4769,-0.8842,-2.1908,-1.1151,0.6942,kidneybeans
-0.3672,0.6258,-0.6546,-0.1368,-2.3926,-1.1467,-0.7417,kidneybeans
-0.6923,0.6864,-0.4769,-2.0317,-2.0921,-1.1689,0.58,kidneybeans
-0.4485,0.3832,-0.6152,-1.3442,-2.2554,-0.7494,0.3935,kidneybeans
-0.8278,0.4742,-0.6546,-0.4294,-2.1883,-0.6919,0.0719,kidneybeans
-0.3672,0.3529,-0.6349,-0.5493,-2.359,-1.0157,-0.7256,kidneybeans
-0.8819,0.6258,-0.6546,-0.1408,-2.2107,-0.9837,0.7828,kidneybeans
-1.2613,0.4135,-0.4572,-0.3613,-2.1171,-0.6737,0.2944,kidneybeans
-0.3672,0.08,-0.4572,-0.7033,-2.3307,-0.8979,0.4234,kidneybeans
-1.2342,0.1709,-0.6546,-1.3316,-2.3047,-0.6426,0.5591,kidneybeans
-1.0716,0.2316,-0.5362,-1.3813,-2.177,-1.2115,0.5801,kidneybeans
-0.7736,0.8077,-0.5559,-0.515,-2.3637,-1.0338,-0.0609,kidneybeans
-1.0445,0.2316,-0.5757,-1.2414,-2.1269,-1.0517,-0.6361,kidneybeans
-1.2342,0.6258,-0.5362,-1.8511,-2.2519,-1.1344,-0.6642,kidneybeans
-0.6381,0.4742,-0.5164,-1.5209,-2.0924,-0.6942,-0.6246,kidneybeans
-0.5297,0.6561,-0.5954,-2.0046,-2.2483,-0.8339,-0.2653,kidneybeans
-0.3943,0.4438,-0.5559,-1.6899,-2.1434,-0.782,-0.3936,kidneybeans
-1.2342,0.3529,-0.6349,-0.8471,-2.3809,-0.779,0.1026,kidneybeans
-0.5026,0.7774,-0.6546,-0.3372,-2.2794,-0.9865,-0.3979,kidneybeans
-1.0716,0.7471,-0.5164,-0.3395,-2.1896,-0.6836,0.1674,kidneybeans
-1.3696,0.0496,-0.5164,-0.5194,-2.2868,-0.7143,0.7352,kidneybeans
-0.9903,0.1709,-0.6546,-0.8424,-2.182,-0.8923,0.7824,kidneybeans
-0.5839,0.4438,-0.4967,-0.2869,-2.3453,-0.8298,0.2415,kidneybeans
-0.5026,0.4438,-0.5757,-0.1951,-2.3945,-1.2345,0.8423,kidneybeans
-0.909,0.3226,-0.6152,-0.9075,-2.091,-1.0427,0.3849,kidneybeans
-1.0174,0.4742,-0.5757,-1.641,-2.3121,-0.7826,0.2136,kidneybeans
-0.9903,0.4135,-0.5164,-0.3537,-2.0993,-1.0918,-0.3426,kidneybeans
-1.1258,0.4742,-0.5559,-1.2464,-2.1348,-1.1346,0.471,kidneybeans
-0.8278,0.5955,-0.5164,-1.892,-2.2081,-0.6374,0.4901,kidneybeans
-0.2859,0.7471,-0.5559,-1.2702,-2.2754,-1.0342,-0.4242,kidneybeans
-0.6381,0.5651,-0.4967,-1.1234,-2.232,-0.6559,-0.7177,kidneybeans
-0.9903,0.4135,-0.6546,-1.1955,-2.1029,-1.0073,0.6521,kidneybeans
-1.18,0.08,-0.5954,-1.4425,-2.1184,-0.9966,-0.4973,kidneybeans
-0.6381,0.3529,-0.5954,-1.0876,-2.1681,-1.1301,-0.5478,kidneybeans
-0.5568,0.2922,-0.6349,-0.3973,-2.2273,-1.2195,-0.0522,kidneybeans
-0.3672,0.5045,-0.4572,-1.1624,-2.093,-0.8402,-0.3531,kidneybeans
-0.6381,0.2922,-0.5757,-0.9249,-2.2594,-1.1726,0.541,kidneybeans
-0.7736,0.2013,-0.4769,-1.3499,-2.3018,-1.0841,0.0144,kidneybeans
-1.2884,0.5651,-0.4769,2.1523,-0.6089,-0.5659,0.3493,pigeonpeas
-0.2859,0.1709,-0.4967,2.2272,-0.3931,-1.5514,1.0968,pigeonpeas
-0.4755,0.5955,-0.4967,0.7149,-0.5433,-0.6251,-0.0024,pigeonpeas
-0.6381,0.1103,-0.4769,0.3396,-1.2635,-0.488,0.7074,pigeonpeas
-1.0987,0.7774,-0.5954,-0.8991,-0.7194,-1.0917,1.4771,pigeonpeas
-0.5568,0.6561,-0.4572,0.9316,-1.3087,-0.0302,0.8342,pigeonpeas
-0.2859,0.5045,-0.5559,1.2217,-1.1883,-1.0933,0.793,pigeonpeas
-0.3401,0.0496,-0.5757,1.4944,-1.4938,-0.7817,1.7356,pigeonpeas
-0.4214,0.1406,-0.5559,0.7445,-0.3596,-0.9147,-0.244,pigeonpeas
-0.3401,0.2316,-0.5362,0.92,-0.184,-2.2914,0.4425,pigeonpeas
-0.4755,0.1406,-0.4769,1.944,-0.1224,-1.5508,0.0941,pigeonpeas
-0.9361,0.08,-0.6152,1.6166,-1.4129,1.2613,1.3314,pigeonpeas
-0.5297,0.5651,-0.6152,0.6075,-0.9888,-0.8225,-0.1292,pigeonpeas
-0.9361,0.8077,-0.5559,1.1109,-0.6653,1.1242,0.3376,pigeonpeas
-0.6381,0.5651,-0.6152,0.6645,-0.6402,-0.1571,0.3145,pigeonpeas
-0.2859,0.2619,-0.5757,0.3369,-1.6777,-2.2898,-0.1265,pigeonpeas
-0.8819,0.1406,-0.6349,-0.8178,-1.4683,-1.9474,1.3999,pigeonpeas
-1.2884,0.4438,-0.6349,-1.4414,-1.6526,-1.9445,0.073,pigeonpeas
-0.6652,0.4135,-0.4769,2.2442,-1.5159,-1.0684,1.0559,pigeonpeas
-0.9361,0.5045,-0.5559,-0.1603,-1.4088,-1.1116,0.3294,pigeonpeas
-0.7194,0.2922,-0.5757,-1.2382,-0.697,-2.3107,1.6585,pigeonpeas
-1.1258,0.6864,-0.4572,0.6453,-0.9596,-0.9822,1.3787,pigeonpeas
-0.9361,0.0496,-0.5757,-1.1996,-1.0913,-0.0723,1.6193,pigeonpeas
-0.611,0.6561,-0.5362,-0.1663,-0.9406,-0.597,0.1969,pigeonpeas
-0.9361,0.5348,-0.4769,-1.439,-1.4858,-1.9684,0.6586,pigeonpeas
-0.7194,0.5045,-0.5362,-1.2778,-1.173,-1.2307,0.5335,pigeonpeas
-0.3401,0.5651,-0.5362,0.5171,-0.9902,-0.7333,1.5113,pigeonpeas
-1.1258,0.3832,-0.5362,0.8892,-1.6779,-0.9688,0.9759,pigeonpeas
-0.4485,0.08,-0.6152,1.54,-1.6197,-2.483,0.659,pigeonpeas
-1.3425,0.6864,-0.5757,-0.2826,-1.1139,0.2585,1.3445,pigeonpeas
-1.2071,0.4742,-0.5757,0.2509,-1.3382,-2.221,-0.1637,pigeonpeas
-0.6652,0.5955,-0.5362,1.129,-0.6068,-1.9686,1.0614,pigeonpeas
-0.6381,0.2316,-0.5954,1.5192,-0.1979,-1.5551,0.0918,pigeonpeas
-0.6381,0.5348,-0.4967,-0.4271,-1.1229,0.8273,0.8628,pigeonpeas
-0.3943,0.2316,-0.5362,1.7623,-1.4573,-1.1017,1.1854,pigeonpeas
-0.909,0.5955,-0.5954,-1.2079,-1.661,-1.0819,1.7092,pigeonpeas
-0.6652,0.5651,-0.5164,0.6225,-1.5232,-2.3192,-0.2137,pigeonpeas
-0.909,0.3226,-0.6349,1.059,-1.7626,0.8947,1.406,pigeonpeas
-0.9903,0.6258,-0.5757,-1.4259,-1.5569,0.2009,-0.1882,pigeonpeas
-0.313,0.2013,-0.6546,1.872,-1.8193,-1.8939,0.2447,pigeonpeas
-1.2071,0.3832,-0.6546,1.8401,-1.8456,-0.1598,1.0156,pigeonpeas
-1.1529,0.1709,-0.5954,0.7682,-1.6066,-0.3265,1.5366,pigeonpeas
-1.3154,0.4135,-0.5954,1.7586,-1.0761,-0.708,0.4649,pigeonpeas
-1.3425,0.6864,-0.6152,0.5566,-0.8707,-0.5903,0.7931,pigeonpeas
-0.9361,0.5955,-0.5757,-1.4222,-1.6477,-2.3074,1.0885,pigeonpeas
-0.7465,0.6561,-0.4572,1.0783,-1.091,0.7854,-0.2211,pigeonpeas
-0.5026,0.5045,-0.5559,-0.9329,-1.1336,-0.3368,1.6763,pigeonpeas
-0.611,0.1709,-0.5164,1.0449,-0.8393,0.7526,1.229,pigeonpeas
-1.2342,0.2619,-0.4967,0.458,-0.2259,-2.2581,0.7627,pigeonpeas
-0.3943,0.4135,-0.4572,2.0415,-1.5703,-0.0665,0.593,pigeonpeas
-1.3425,0.3832,-0.4967,-1.1996,-0.6538,-2.153,1.2686,pigeonpeas
-0.7194,0.5955,-0.5559,-1.181,-1.7596,-2.4049,1.3277,pigeonpeas
-0.909,0.4135,-0.5954,1.1068,-0.6745,-1.1088,0.4684,pigeonpeas
-1.2342,0.0496,-0.5954,1.559,-1.1578,1.1019,0.4224,pigeonpeas
-1.2342,0.08,-0.4769,-0.1598,-1.1892,-1.8693,1.5475,pigeonpeas
-0.3672,0.7168,-0.6152,2.0925,-1.7762,-1.1016,1.5943,pigeonpeas
-1.0174,0.5955,-0.5559,0.9655,-1.617,-1.3931,1.0761,pigeonpeas
-1.2071,0.2922,-0.4967,0.079,-0.9675,-0.7275,1.035,pigeonpeas
-0.9361,0.7168,-0.5164,1.1592,-1.6103,0.1354,-0.0531,pigeonpeas
-0.6923,0.3226,-0.5559,1.4884,-1.7531,-2.1476,0.0287,pigeonpeas
-0.4485,0.6561,-0.4769,-0.4176,-0.9071,-2.2093,1.6168,pigeonpeas
-0.8278,0.7168,-0.4967,1.8284,-1.4666,-1.6662,0.8151,pigeonpeas
-0.4214,0.8077,-0.4572,0.4892,-1.1927,-2.0336,1.7044,pigeonpeas
-0.9903,0.6561,-0.4769,-0.2111,-0.6353,-0.0431,0.2711,pigeonpeas
-0.3943,0.8077,-0.5362,1.5864,-1.0363,0.771,-0.0545,pigeonpeas
-1.18,0.7168,-0.5954,-0.9989,-0.4912,0.241,1.5948,pigeonpeas
-0.5839,0.7471,-0.4572,-1.1173,-0.5459,-0.6289,1.6803,pigeonpeas
-0.5568,0.2013,-0.5362,0.644,-0.404,-1.3074,1.4342,pigeonpeas
-0.8278,0.6258,-0.6349,2.0597,-1.252,-2.21,1.027,pigeonpeas
-0.8549,0.1103,-0.4967,-0.3838,-1.0869,1.1282,0.6854,pigeonpeas
-1.2884,0.2013,-0.5757,0.0258,-1.382,-2.1307,-0.0489,pigeonpeas
-1.2342,0.7168,-0.5757,1.0804,-0.2154,-0.2939,1.3189,pigeonpeas
-1.2342,0.4438,-0.5559,-1.3602,-0.456,-1.8978,0.6626,pigeonpeas
-0.3672,0.5955,-0.5362,0.7677,-0.3602,-1.1751,1.5662,pigeonpeas
-1.1258,0.1709,-0.4769,-1.0234,-1.4425,-2.2257,0.6145,pigeonpeas
-0.8278,0.5651,-0.6546,2.0519,-0.6949,1.0908,0.5714,pigeonpeas
-0.5297,0.08,-0.4967,1.156,-1.6213,-1.0438,1.2942,pigeonpeas
-1.3696,0.5045,-0.5362,2.1104,-0.6942,-2.3225,-0.0338,pigeonpeas
-0.8007,0.6258,-0.6546,0.7654,-0.1966,0.0031,0.9061,pigeonpeas
-1.0174,0.4135,-0.5954,0.9795,-1.65,-1.4019,1.3488,pigeonpeas
-0.6381,0.6258,-0.5559,-0.182,-0.5173,-0.7879,-0.2094,pigeonpeas
-0.5839,0.5651,-0.4769,-0.4824,-1.5636,0.637,1.0761,pigeonpeas
-1.2342,0.4438,-0.5559,-1.2982,-1.724,-0.4495,0.9447,pigeonpeas
-0.313,0.1103,-0.5757,0.7323,-1.1478,-0.0617,1.1274,pigeonpeas
-0.7736,0.2619,-0.6349,1.7835,-0.7709,-2.1202,1.4093,pigeonpeas
-0.8819,0.0496,-0.4967,-0.7145,-0.6816,0.6672,0.6072,pigeonpeas
-0.313,0.7168,-0.5362,-0.5172,-0.505,-2.4115,1.0233,pigeonpeas
-1.0174,0.6561,-0.5559,0.9765,-1.626,0.6592,1.3729,pigeonpeas
-0.6381,0.5348,-0.4769,1.1551,-1.047,0.7696,1.1273,pigeonpeas
-0.6652,0.3226,-0.5164,0.066,-1.3882,-1.6857,0.1041,pigeonpeas
-0.7465,0.0496,-0.6349,-0.9096,-0.0804,-1.7551,1.4876,pigeonpeas
-1.2613,0.4742,-0.5757,-1.2573,-1.0683,-1.4153,0.8299,pigeonpeas
-0.8278,0.4135,-0.5757,-1.2586,-0.9406,-1.0314,1.4047,pigeonpeas
-1.18,0.6258,-0.6152,-0.621,-0.4006,-1.0366,-0.1222,pigeonpeas
-0.909,0.3226,-0.5954,2.1994,-0.5941,-0.5042,0.3847,pigeonpeas
-0.4214,0.5348,-0.6152,0.8447,-0.2304,0.5977,1.7231,pigeonpeas
-1.0716,0.5651,-0.5164,0.7429,-1.1977,0.4824,1.2547,pigeonpeas
-0.8278,0.2013,-0.5164,0.7969,-1.2841,0.5261,1.5189,pigeonpeas
-1.0987,0.5348,-0.5954,-1.1997,-0.2307,-0.4116,1.2676,pigeonpeas
-0.4755,0.2316,-0.4769,-1.1003,-1.0128,-2.4582,0.3457,pigeonpeas
-1.2884,-0.1323,-0.5954,0.4533,-0.3043,-3.5885,-1.2883,mothbeans
-0.7736,0.1709,-0.4967,0.337,-0.9076,-2.7111,-1.2187,mothbeans
-0.3943,0.1406,-0.4572,0.6013,-0.5464,2.4939,-1.211,mothbeans
-1.2613,-0.3142,-0.5954,0.6742,-0.4667,3.0645,-0.5548,mothbeans
-0.5839,0.0193,-0.6349,0.4275,-0.7562,2.1758,-1.2997,mothbeans
-0.5026,-0.3142,-0.5164,1.2608,-0.7805,-1.5492,-0.5794,mothbeans
-0.9903,0.0496,-0.6546,0.3397,-0.728,2.043,-0.5463,mothbeans
-1.2342,-0.5568,-0.5559,0.6545,-0.8047,4.1483,-0.6753,mothbeans
-0.6923,0.1103,-0.4769,0.4027,-0.5787,0.6533,-1.2107,mothbeans
-1.0716,-0.011,-0.4769,0.5744,-0.7058,1.1947,-0.7668,mothbeans
-0.2859,-0.1323,-0.6152,1.0678,-1.1496,0.2815,-0.9081,mothbeans
-0.3401,0.08,-0.4572,0.0246,-1.1724,1.8245,-0.6557,mothbeans
-0.6381,-0.3142,-0.4967,1.2026,-0.6572,-0.7679,-1.0651,mothbeans
-0.7194,-0.4658,-0.5164,-0.2247,-0.5825,2.24,-1.2466,mothbeans
-0.7465,-0.2536,-0.5362,1.1553,-0.8843,3.2515,-0.5282,mothbeans
-0.5839,0.1103,-0.5559,-0.0013,-0.9322,-0.7656,-0.9113,mothbeans
-0.5297,-0.5568,-0.4967,0.9257,-1.0917,1.6001,-0.6447,mothbeans
-1.3696,0.0496,-0.4572,0.5054,-1.2496,-2.5141,-1.0498,mothbeans
-1.18,-0.2536,-0.5164,-0.0217,-1.1974,4.4674,-0.5303,mothbeans
-0.909,0.1406,-0.4572,1.0889,-1.2532,-0.0179,-1.2867,mothbeans
-1.0716,-0.2839,-0.6152,0.143,-0.7139,1.999,-1.2441,mothbeans
-0.7736,-0.1323,-0.5164,0.5173,-0.4457,-3.5649,-0.5605,mothbeans
-1.1258,-0.0716,-0.5757,0.2821,-0.9954,-1.2647,-1.0048,mothbeans
-0.611,-0.1626,-0.6546,-0.0899,-0.729,3.5988,-1.1387,mothbeans
-0.6652,-0.102,-0.5757,0.3361,-0.8901,-0.6,-1.2904,mothbeans
-0.3943,0.08,-0.5559,-0.0403,-0.9802,1.2505,-1.3029,mothbeans
-1.1529,0.2013,-0.5954,1.1062,-1.144,-3.4391,-0.9162,mothbeans
-0.7194,-0.4962,-0.5362,0.9793,-0.5955,-0.8417,-0.741,mothbeans
-0.7736,-0.3142,-0.4769,-0.0377,-0.8204,-2.5148,-1.0423,mothbeans
-0.3943,-0.3142,-0.4769,0.2919,-1.2502,-3.8243,-1.127,mothbeans
-0.7736,-0.2839,-0.4769,-0.2581,-0.6807,-0.5674,-0.8093,mothbeans
-0.909,-0.3142,-0.5164,0.878,-1.1493,-1.2551,-1.1358,mothbeans
-1.1529,-0.2536,-0.6546,0.4898,-0.4716,-2.4014,-1.2671,mothbeans
-1.18,0.08,-0.4967,0.1428,-1.4139,-1.1945,-0.8728,mothbeans
-0.3943,0.1103,-0.6349,0.5922,-0.6442,2.3565,-0.8451,mothbeans
-1.0716,-0.2536,-0.5757,0.6091,-1.2185,-3.4138,-1.0801,mothbeans
-1.2071,-0.5265,-0.5164,-0.2766,-0.5252,3.1018,-1.1141,mothbeans
-0.909,0.1103,-0.5559,0.571,-1.1807,-3.4583,-0.6786,mothbeans
-1.2613,-0.1929,-0.5559,0.0718,-0.2932,-2.9418,-0.5691,mothbeans
-1.1258,-0.1323,-0.6349,1.0407,-1.353,1.5406,-0.881,mothbeans
-0.6923,-0.0716,-0.4769,-0.0221,-0.4409,3.7779,-0.6986,mothbeans
-0.3943,-0.2839,-0.5362,-0.097,-0.9053,-2.5245,-1.1826,mothbeans
-0.8007,-0.4658,-0.5559,0.2941,-0.3555,-0.8726,-0.7509,mothbeans
-0.3672,0.1103,-0.5559,1.0833,-1.1978,1.1435,-0.5945,mothbeans
-0.5026,-0.1626,-0.5954,0.1661,-0.6775,-0.6151,-0.7153,mothbeans
-0.5839,-0.2839,-0.5559,0.8741,-0.3558,2.7794,-1.3037,mothbeans
-0.6923,-0.0716,-0.5954,0.427,-0.7485,3.8643,-0.9678,mothbeans
-1.0987,-0.2839,-0.4769,1.062,-1.2786,2.0225,-0.8224,mothbeans
-0.7465,-0.5568,-0.5954,0.1728,-1.0835,-1.3635,-1.2097,mothbeans
-1.1258,0.2013,-0.4967,1.255,-0.6428,-0.25,-0.7136,mothbeans
-1.2884,0.1406,-0.5362,-0.0503,-1.1077,3.4781,-0.871,mothbeans
-0.7736,-0.3446,-0.5164,-0.0146,-0.6521,1.8328,-1.0009,mothbeans
-1.0445,-0.4355,-0.5362,0.667,-0.3874,2.2156,-0.6005,mothbeans
-0.313,-0.5265,-0.5164,0.7362,-0.4932,3.3635,-1.2636,mothbeans
-0.5026,-0.3749,-0.6349,0.5965,-0.4532,1.5933,-0.6354,mothbeans
-0.5568,-0.3749,-0.6546,-0.1549,-1.227,-0.7552,-0.9351,mothbeans
-0.8549,-0.5265,-0.5164,-0.0335,-0.5808,-0.3936,-0.8447,mothbeans
-1.2613,-0.2233,-0.6546,1.066,-0.4078,-3.8316,-0.7224,mothbeans
-0.8007,-0.4355,-0.5559,0.2855,-0.8617,1.1871,-0.7775,mothbeans
-0.4214,0.1103,-0.4572,0.2922,-1.3127,2.418,-0.5885,mothbeans
-0.7736,0.0496,-0.4769,0.5831,-0.6368,2.832,-0.7086,mothbeans
-0.4214,-0.0716,-0.6152,0.6287,-0.9722,-3.7617,-1.1395,mothbeans
-0.909,0.08,-0.6152,0.4596,-1.1711,-0.6629,-0.6152,mothbeans
-0.611,0.1103,-0.6152,0.9602,-0.4447,3.808,-0.7571,mothbeans
-0.7736,-0.5265,-0.6349,0.9808,-0.9304,2.2161,-0.7076,mothbeans
-1.0716,-0.3749,-0.5757,0.2455,-1.3328,-1.7288,-1.0797,mothbeans
-0.3401,-0.4658,-0.5954,0.1371,-0.4625,-0.2266,-1.2327,mothbeans
-0.7465,-0.4962,-0.4769,0.6246,-1.2245,1.9676,-1.265,mothbeans
-0.6923,-0.5568,-0.5559,0.6491,-1.2637,3.171,-0.5744,mothbeans
-0.2859,-0.2536,-0.5559,0.7428,-0.6193,0.5286,-1.1852,mothbeans
-0.7465,0.1406,-0.5757,-0.2855,-0.5944,-1.5843,-0.8058,mothbeans
-1.3154,0.08,-0.4967,0.2049,-0.5253,1.3966,-1.2111,mothbeans
-1.2884,0.08,-0.6152,0.5102,-0.8076,2.8947,-0.9342,mothbeans
-0.6652,-0.0716,-0.4572,0.6219,-0.8471,1.7099,-0.8781,mothbeans
-0.313,-0.3446,-0.5559,0.7375,-0.4595,2.0503,-1.1399,mothbeans
-0.6381,0.1709,-0.5559,0.4727,-0.8479,-2.6775,-1.2276,mothbeans
-0.7194,-0.2536,-0.5757,0.2454,-1.0179,-0.6683,-1.2507,mothbeans
-1.18,-0.4052,-0.6152,1.1054,-1.3728,2.6657,-0.9041,mothbeans
-0.9632,-0.2536,-0.4967,-0.2789,-0.4514,0.9754,-1.0455,mothbeans
-0.6652,-0.0413,-0.4967,0.8636,-0.9829,-1.9872,-0.9197,mothbeans
-0.8278,-0.2536,-0.6349,0.854,-0.7576,-2.3822,-1.0561,mothbeans
-0.4485,0.0193,-0.4769,1.1053,-1.3443,-1.8655,-0.6308,mothbeans
-0.8549,-0.0716,-0.4572,0.2348,-1.0442,-3.8049,-1.0844,mothbeans
-0.5839,-0.3749,-0.5362,1.161,-0.3878,3.1021,-0.7079,mothbeans
-0.8278,-0.102,-0.5164,1.0628,-1.1256,3.7963,-1.1857,mothbeans
-1.0716,-0.4052,-0.4967,0.7894,-0.3789,-0.8597,-0.9694,mothbeans
-0.9632,0.0193,-0.6546,0.8612,-0.6492,2.4368,-1.0666,mothbeans
-0.4214,0.0496,-0.5164,1.0415,-0.8471,2.7986,-0.8726,mothbeans
-1.1258,0.1709,-0.4572,0.9436,-0.5085,1.5893,-1.2392,mothbeans
-0.2859,-0.2536,-0.5954,0.9522,-0.7312,-1.5615,-1.3203,mothbeans
-0.4214,-0.4658,-0.5757,-0.0572,-0.3729,3.4162,-1.2877,mothbeans
-0.9903,0.1406,-0.6152,0.972,-0.5173,-2.4087,-1.2735,mothbeans
-0.2859,0.0496,-0.5954,0.9415,-1.3877,0.8355,-1.0103,mothbeans
-0.8819,-0.5265,-0.4967,-0.3156,-0.7959,0.9623,-1.2454,mothbeans
-0.4214,-0.0413,-0.6546,0.6088,-0.4643,4.4789,-0.6877,mothbeans
-1.2613,0.1709,-0.5164,0.735,-1.0099,3.1594,-1.1106,mothbeans
-0.7736,-0.0716,-0.6349,0.4641,-0.4552,2.8046,-0.6071,mothbeans
-0.4755,-0.1929,-0.6152,-0.1478,-1.0426,2.7813,-0.7197,mothbeans
-1.3154,-0.0716,-0.6152,0.0515,-1.1464,-0.8155,-1.1817,mothbeans
-0.9361,-0.0716,-0.5362,1.0673,-0.9661,-3.7964,-1.2858,mothbeans
-0.8549,0.0496,-0.5559,0.3589,0.7333,0.9251,-0.8869,mungbean
-1.1529,0.0193,-0.5559,0.5368,0.4174,0.7299,-1.1769,mungbean
-0.3943,0.0496,-0.5559,0.2762,0.5778,0.2152,-0.8766,mungbean
-1.0987,0.08,-0.6349,0.5053,0.4297,0.4636,-1.2213,mungbean
-0.7736,0.08,-0.6152,0.842,0.7119,0.5445,-1.0685,mungbean
-1.1258,0.1103,-0.4769,0.8446,0.8191,0.899,-1.1005,mungbean
-0.4485,0.1709,-0.4967,0.5819,0.5286,0.6027,-0.855,mungbean
-0.5297,-0.0716,-0.4572,0.3792,0.6329,0.9399,-0.9181,mungbean
-1.3696,-0.1323,-0.5954,0.8034,0.7392,0.6728,-1.1218,mungbean
-0.8007,-0.4355,-0.5559,0.4994,0.4779,0.7694,-1.032,mungbean
-0.611,-0.5568,-0.5164,0.7731,0.6852,0.888,-0.7934,mungbean
-0.909,-0.0413,-0.6152,0.4479,0.6725,-0.1351,-1.0705,mungbean
-0.7194,-0.3446,-0.4967,0.5152,0.4887,-0.0535,-1.082,mungbean
-0.611,-0.2233,-0.6349,0.67,0.6056,0.2516,-1.0475,mungbean
-0.8007,-0.4658,-0.5362,0.8176,0.6726,0.2174,-1.1997,mungbean
-0.4485,0.2013,-0.4572,0.8233,0.6149,0.4192,-1.1408,mungbean
-0.8549,-0.011,-0.5164,0.444,0.403,0.4955,-1.1035,mungbean
-0.5297,0.1406,-0.6546,0.2951,0.6059,0.8428,-0.9452,mungbean
-0.8549,-0.5568,-0.4769,0.2951,0.5463,0.5348,-0.989,mungbean
-0.7194,-0.011,-0.6152,0.6594,0.7906,-0.0623,-0.8336,mungbean
-1.0174,-0.1929,-0.5559,0.7114,0.7393,0.097,-1.0979,mungbean
-0.5297,-0.011,-0.6349,0.6174,0.644,-0.0226,-0.9995,mungbean
-0.611,-0.2536,-0.4967,0.7968,0.3961,0.0256,-0.8499,mungbean
-0.5297,-0.4962,-0.5362,0.3206,0.6704,0.3153,-1.2039,mungbean
-0.4755,0.2013,-0.6546,0.6588,0.4578,0.0535,-0.8545,mungbean
-0.4485,-0.2536,-0.5362,0.5081,0.4998,-0.2353,-1.2094,mungbean
-1.0174,0.1103,-0.4572,0.5302,0.6615,0.5087,-0.9644,mungbean
-0.4755,0.1103,-0.6152,0.4504,0.7743,0.4067,-0.8311,mungbean
-0.5026,0.1103,-0.5164,0.6071,0.7198,0.3876,-1.0719,mungbean
-0.7465,0.1709,-0.4572,0.4365,0.7749,-0.1922,-0.8513,mungbean
-0.4214,-0.3749,-0.5954,0.6102,0.4542,0.3044,-0.7934,mungbean
-1.2071,-0.1626,-0.4769,0.5965,0.59,0.4152,-1.0006,mungbean
